Tm,W-L%,Year,Latitude,Longitude,City,States,Champion,League
BOS,0.65,1903,42.3601,-71.0589,Boston,Massachusetts,1,MLB
PIT,0.65,1903,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
NYG,0.6,1903,40.7128,-74.006,New York City,New York,0,MLB
CHC,0.586,1903,41.8781,-87.6298,Chicago,Illinois,0,MLB
CLE,0.55,1903,41.4993,-81.6944,Cleveland,Ohio,0,MLB
PHA,0.536,1903,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
CIN,0.529,1903,39.1031,-84.512,Cincinnati,Ohio,0,MLB
NYY,0.514,1903,40.7128,-74.006,New York City,New York,0,MLB
BRK,0.5,1903,40.6782,-73.9442,Brooklyn,New York,0,MLB
DET,0.464,1903,42.3314,-83.0458,Detroit,Michigan,0,MLB
BAL,0.464,1903,39.2904,-76.6122,Baltimore,Maryland,0,MLB
CHW,0.429,1903,41.8781,-87.6298,Chicago,Illinois,0,MLB
BOB,0.414,1903,42.3601,-71.0589,Boston,Massachusetts,0,MLB
PHI,0.35,1903,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
WHS,0.307,1903,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
STL,0.307,1903,38.627,-90.1994,St. Louis,Missouri,0,MLB
NYG,0.688,1904,40.7128,-74.006,New York City,New York,0,MLB
BOS,0.617,1904,42.3601,-71.0589,Boston,Massachusetts,0,MLB
CHC,0.604,1904,41.8781,-87.6298,Chicago,Illinois,0,MLB
NYY,0.597,1904,40.7128,-74.006,New York City,New York,0,MLB
CHW,0.578,1904,41.8781,-87.6298,Chicago,Illinois,0,MLB
CIN,0.571,1904,39.1031,-84.512,Cincinnati,Ohio,0,MLB
PIT,0.565,1904,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
CLE,0.558,1904,41.4993,-81.6944,Cleveland,Ohio,0,MLB
PHA,0.526,1904,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
STL,0.487,1904,38.627,-90.1994,St. Louis,Missouri,0,MLB
BAL,0.422,1904,39.2904,-76.6122,Baltimore,Maryland,0,MLB
DET,0.403,1904,42.3314,-83.0458,Detroit,Michigan,0,MLB
BRK,0.364,1904,40.6782,-73.9442,Brooklyn,New York,0,MLB
BOB,0.357,1904,42.3601,-71.0589,Boston,Massachusetts,0,MLB
PHI,0.338,1904,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
WHS,0.247,1904,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
NYG,0.682,1905,40.7128,-74.006,New York City,New York,1,MLB
PIT,0.623,1905,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
PHA,0.597,1905,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
CHC,0.597,1905,41.8781,-87.6298,Chicago,Illinois,0,MLB
CHW,0.597,1905,41.8781,-87.6298,Chicago,Illinois,0,MLB
PHI,0.539,1905,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
DET,0.513,1905,42.3314,-83.0458,Detroit,Michigan,0,MLB
CIN,0.513,1905,39.1031,-84.512,Cincinnati,Ohio,0,MLB
BOS,0.506,1905,42.3601,-71.0589,Boston,Massachusetts,0,MLB
CLE,0.494,1905,41.4993,-81.6944,Cleveland,Ohio,0,MLB
NYY,0.461,1905,40.7128,-74.006,New York City,New York,0,MLB
WHS,0.416,1905,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
STL,0.377,1905,38.627,-90.1994,St. Louis,Missouri,0,MLB
BAL,0.351,1905,39.2904,-76.6122,Baltimore,Maryland,0,MLB
BOB,0.331,1905,42.3601,-71.0589,Boston,Massachusetts,0,MLB
BRK,0.312,1905,40.6782,-73.9442,Brooklyn,New York,0,MLB
CHW,0.604,1906,41.8781,-87.6298,Chicago,Illinois,1,MLB
CHC,0.753,1906,41.8781,-87.6298,Chicago,Illinois,0,MLB
NYG,0.623,1906,40.7128,-74.006,New York City,New York,0,MLB
PIT,0.604,1906,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
NYY,0.584,1906,40.7128,-74.006,New York City,New York,0,MLB
CLE,0.578,1906,41.4993,-81.6944,Cleveland,Ohio,0,MLB
PHA,0.506,1906,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
BAL,0.494,1906,39.2904,-76.6122,Baltimore,Maryland,0,MLB
DET,0.461,1906,42.3314,-83.0458,Detroit,Michigan,0,MLB
PHI,0.461,1906,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
BRK,0.429,1906,40.6782,-73.9442,Brooklyn,New York,0,MLB
CIN,0.416,1906,39.1031,-84.512,Cincinnati,Ohio,0,MLB
WHS,0.357,1906,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
STL,0.338,1906,38.627,-90.1994,St. Louis,Missouri,0,MLB
BOS,0.318,1906,42.3601,-71.0589,Boston,Massachusetts,0,MLB
BOB,0.318,1906,42.3601,-71.0589,Boston,Massachusetts,0,MLB
CHC,0.695,1907,41.8781,-87.6298,Chicago,Illinois,1,MLB
DET,0.597,1907,42.3314,-83.0458,Detroit,Michigan,0,MLB
PIT,0.591,1907,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
PHA,0.571,1907,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
CHW,0.565,1907,41.8781,-87.6298,Chicago,Illinois,0,MLB
CLE,0.552,1907,41.4993,-81.6944,Cleveland,Ohio,0,MLB
PHI,0.539,1907,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
NYG,0.532,1907,40.7128,-74.006,New York City,New York,0,MLB
NYY,0.455,1907,40.7128,-74.006,New York City,New York,0,MLB
BAL,0.448,1907,39.2904,-76.6122,Baltimore,Maryland,0,MLB
CIN,0.429,1907,39.1031,-84.512,Cincinnati,Ohio,0,MLB
BRK,0.422,1907,40.6782,-73.9442,Brooklyn,New York,0,MLB
BOS,0.383,1907,42.3601,-71.0589,Boston,Massachusetts,0,MLB
BOB,0.377,1907,42.3601,-71.0589,Boston,Massachusetts,0,MLB
STL,0.338,1907,38.627,-90.1994,St. Louis,Missouri,0,MLB
WHS,0.318,1907,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
CHC,0.643,1908,41.8781,-87.6298,Chicago,Illinois,1,MLB
PIT,0.636,1908,40.4406,-79.9959,Pittsburgh,Pennsylvania,0,MLB
NYG,0.636,1908,40.7128,-74.006,New York City,New York,0,MLB
DET,0.584,1908,42.3314,-83.0458,Detroit,Michigan,0,MLB
CLE,0.584,1908,41.4993,-81.6944,Cleveland,Ohio,0,MLB
CHW,0.571,1908,41.8781,-87.6298,Chicago,Illinois,0,MLB
PHI,0.539,1908,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
BAL,0.539,1908,39.2904,-76.6122,Baltimore,Maryland,0,MLB
BOS,0.487,1908,42.3601,-71.0589,Boston,Massachusetts,0,MLB
CIN,0.474,1908,39.1031,-84.512,Cincinnati,Ohio,0,MLB
PHA,0.442,1908,39.9526,-75.1652,Philadelphia,Pennsylvania,0,MLB
WHS,0.435,1908,38.9072,-77.0369,Washington D.C.,Washington D.C.,0,MLB
BOB,0.409,1908,42.3601,-71.0589,Boston,Massachusetts,0,MLB
BRK,0.344,1908,40.6782,-73.9442,Brooklyn,New York,0,MLB
NYY,0.331,1908,40.7128,-74.006,New York City,New York,0,MLB
STL,0.318,1908,38.627,-90.1994,St. Louis,Missouri,0,MLB
PIT,0.719,1909,40.4406,-79.9959,Pittsburgh,Pennsylvania,1,MLB
CHC,0.68,1909,41.8781,-87.6298,Chicago,Illinois,0,MLB
